hidden_dim,intermediate_dim,learning_rate,batch_size,dropout_enc,weight_decay,epochs,map,ndcg,diversity,novelty,map_c,ndcg_c,co2e,time
50,400,1e-06,512,0.2,0.0,10,0.04911818840024418,0.035085332576223496,5.773103676714144,12.642598720254881,27.02950434412833,-3.55873255191098,0.09008415866373799,9.942957639694214
50,400,1e-06,512,0.2,0.0,20,0.040763824938781335,0.024440119980861912,9.696257038754554,11.556294157970289,1626.1930005293348,-1408.227267529524,0.0009835817835101514,7.492807149887085
50,400,1e-06,512,0.2,0.0001,10,0.022575879922637206,0.013225497773361308,8.991553494534614,12.361571698281063,-4.96925485868676,-56.79772250368814,0.044131503828725056,3.8507657051086426
50,400,1e-06,512,0.2,0.0001,20,0.00879054111400348,0.004033613831974215,8.042563762835377,15.027481692637323,-18.28056459258712,-39.19353028884973,0.08740619375253594,7.483655214309692
50,400,1e-06,512,0.5,0.0,10,0.023107668578685837,0.014238887837347588,8.338025836369658,13.828106888486777,-3.745279961994055,-54.22682659192763,0.044354981711096454,3.831714391708374
50,400,1e-06,512,0.5,0.0,20,0.09281777587553555,0.0728214912257642,8.738986419344153,10.514758641956085,77.66816324046545,39.41144894341248,0.08761490708103178,7.475023984909058
50,400,1e-06,512,0.5,0.0001,10,0.018538320127180357,0.011011346130590923,7.98724743292481,12.10753000678119,-13.854463042949025,-60.66021980204649,0.044971549415971306,3.8791191577911377
50,400,1e-06,512,0.5,0.0001,20,0.05519422791177656,0.030018973748271484,6.252732692944684,12.086351264378173,34.44565791185705,-9.365279488131648,0.08832852363794087,7.562804222106934
50,400,1e-06,512,0.8,0.0,10,0.03112585854735367,0.01835117010257786,8.25869493209672,10.453353282369473,14.23380979743282,-44.647423021314445,0.04466106978359749,3.925581932067871
50,400,1e-06,512,0.8,0.0,20,0.015714954921869206,0.010587312102714571,3.998012586949321,12.284253708203913,-10.266293013450746,-31.413544853772407,0.08819085805486096,7.520366191864014
50,400,1e-06,512,0.8,0.0001,10,0.022098425984890716,0.011951391189135496,7.0322954620735345,12.321830103876714,-5.919589416817826,-58.38721675414219,0.04511226451584703,3.888101816177368
50,400,1e-06,512,0.8,0.0001,20,0.023110308420331623,0.015179294363212883,9.921331566743955,13.38062187863458,-1.8630747366470999,-25.961499922672456,0.08902371804530575,7.621605634689331
50,400,1e-06,1024,0.2,0.0,10,0.03304409032628842,0.023697052705002337,7.265650877774098,10.706974163512678,18.41346660761805,-32.47395688290825,0.04494104060778608,3.8748748302459717
50,400,1e-06,1024,0.2,0.0,20,0.03626560511541707,0.021321149912984953,11.586783703212985,12.997817413216916,13.10124532309458,-19.338441755215094,0.08775286631945786,7.531887054443359
50,400,1e-06,1024,0.2,0.0001,10,0.05260651111575362,0.035815365121426586,9.27393176548526,10.898236879282036,61.847932655261296,-5.500629443235778,0.04500978949460142,3.89945125579834
50,400,1e-06,1024,0.2,0.0001,20,0.017142860897773896,0.009341794297491567,7.955945677376615,13.66694869569925,-8.517917951379456,-32.33513143434292,0.08952922494221428,7.701156854629517
50,400,1e-06,1024,0.5,0.0,10,0.027358173799523794,0.018877532242884985,7.0228552500828085,12.864443699825342,5.826631384805837,-43.68623879353964,0.04443883279485026,3.8762052059173584
50,400,1e-06,1024,0.5,0.0,20,0.04554532338194075,0.03011380962896356,6.176714143756211,12.041207361234674,23.364596028327504,-9.196048364163554,0.08892272965427478,7.606801748275757
50,400,1e-06,1024,0.5,0.0001,10,0.06289222279209664,0.04778098497873233,7.604836038423319,11.948352632534915,85.49737073700857,21.282313516357217,0.0445900682589492,3.8990962505340576
50,400,1e-06,1024,0.5,0.0001,20,0.03184557947571035,0.014413673717251104,5.570056310036436,12.062348808590201,7.992212841211711,-26.96657554889013,0.08854484728386917,7.5996363162994385
