factors,regularization,mean_ap,mean_ndcg,mean_diversity,mean_novelty,co2e,map_c,ndcg_c,time
30,0.001,0.01557836643722614,0.02157747571126115,5.735079628934527,7.767218226266532,0.0018503138832747935,839.8800268416059,1162.8503217751252,0.3113586902618408
30,0.01,0.015625524873172203,0.021647745632320983,5.743927288326452,7.75140578706461,0.0020247042874495186,769.8692234747884,1066.1631429527358,0.34070396423339844
30,0.1,0.01552333419440907,0.0216426555148855,5.751059038018124,7.778371954762347,0.0020875855994721255,741.7844087735093,1033.8048295884153,0.3512852191925049
50,0.001,0.0161696663877746,0.02249981907145007,5.751005415839991,7.872473082400006,0.003060807122538487,527.0412686661512,733.0982779172987,0.5150525569915771
50,0.01,0.016491195004285558,0.022734674977613705,5.749396750496005,7.864042494834516,0.003120994998763005,527.1794832443788,726.485631051953,0.5251805782318115
50,0.1,0.01606367161976713,0.022312203389466264,5.794680679929218,7.885684167122188,0.0030445473281045755,526.3745376564838,730.8511323937472,0.5123164653778076
100,0.001,0.018220468401074618,0.024695081158399666,5.867043809319535,8.152953371862846,0.0060330482386052615,301.3819545980336,408.3174113380573,1.0152018070220947
100,0.01,0.018417413050503293,0.024978406398816048,5.811437610595743,8.103047167076683,0.0060980817489326,301.39745758568364,408.6090127838503,1.0261452198028564
100,0.1,0.01813893077234947,0.024530230496310493,5.885757949487908,8.099013663562973,0.00552886851131916,327.39033380099005,442.57040442298165,0.9303617477416992
150,0.001,0.01858076209314882,0.025031295124323998,5.926108638532897,8.318570807077592,0.009890980590134858,187.47193189236816,252.45424486504976,1.6643893718719482
150,0.01,0.019030919746608296,0.025328471193112684,5.949005308595635,8.299208101018694,0.009664355100442966,196.52599528357467,261.44917239438104,1.6262543201446533
150,0.1,0.018932783890422394,0.025348006074606688,5.935680197329615,8.31610586324139,0.010743057010074457,175.8794929132336,235.3791037797074,1.8077712059020996
200,0.001,0.019211452356694757,0.02542719818670097,5.999302911684272,8.397916924197633,0.01730474976077676,110.79907495934962,146.58463006755414,2.9119298458099365
200,0.01,0.020113886839046385,0.026453427012609308,5.966727438468551,8.39669514620905,0.017914888770629963,112.06286233959457,147.32065928384128,3.0146000385284424
200,0.1,0.01937987600084095,0.025576184905785594,5.981500348544158,8.425228421592386,0.016256613600999118,118.97881550145455,156.9520612734934,2.7355563640594482
